,Countermeasures,Attacks
10,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
11,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
12,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
13,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
14,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
15,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
16,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
17,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
18,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
19,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
20,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
21,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
22,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
23,"[([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],), ([0.4, 0.5, 0.3, 0.4, 100, 5],)]","[([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1]), ([0.25, 2600, 50, 0], [0.2, 2300, 60, 1], [0.15, 1600, 65, 3])]"
